Seed:  7280842391112275912
Solution time: 1.191267967224121s

Testing 199 Robots
Solution time: 1.2009899616241455s

Testing 200 Robots
Solution time: 1.2050108909606934s

Testing 201 Robots
Solution time: 1.2185213565826416s

Testing 202 Robots
Solution time: 1.2254011631011963s

Testing 203 Robots
Solution time: 1.2284913063049316s

Testing 204 Robots
Solution time: 1.2429063320159912s

Testing 205 Robots
Solution time: 1.2378628253936768s

Testing 206 Robots
Solution time: 1.2544844150543213s

Testing 207 Robots
Solution time: 1.2606008052825928s

Testing 208 Robots
Solution time: 1.2582688331604004s

Testing 209 Robots
Solution time: 1.2756836414337158s

Testing 210 Robots
Solution time: 1.2840917110443115s

Testing 211 Robots
Solution time: 1.2742483615875244s

Testing 212 Robots
Solution time: 1.2841830253601074s

Testing 213 Robots
Solution time: 1.289853811264038s

Testing 214 Robots
Solution time: 1.2884910106658936s

Testing 215 Robots
Solution time: 1.2984542846679688s

Testing 216 Robots
Solution time: 1.300605297088623s

Testing 217 Robots
Solution time: 1.3205792903900146s

Testing 218 Robots
Solution time: 1.3936357498168945s

Testing 219 Robots
Solution time: 1.3344497680664062s

Testing 220 Robots
Solution time: 1.3301525115966797s

Testing 221 Robots
Solution time: 1.421511173248291s

Testing 222 Robots
Solution time: 1.35728120803833s

Testing 223 Robots
Solution time: 1.3765387535095215s

Testing 224 Robots
Solution time: 1.3713226318359375s

Testing 225 Robots
Solution time: 1.3623628616333008s

Testing 226 Robots
Solution time: 1.3803377151489258s

Testing 227 Robots
Solution time: 1.391409158706665s

Testing 228 Robots
Solution time: 1.3890631198883057s

Testing 229 Robots
Solution time: 1.437711238861084s

Testing 230 Robots
Solution time: 1.4267101287841797s

Testing 231 Robots
Solution time: 1.4550600051879883s

Testing 232 Robots
Solution time: 1.4495761394500732s

Testing 233 Robots
Solution time: 1.461479902267456s

Testing 234 Robots
Solution time: 1.4577875137329102s

Testing 235 Robots
Solution time: 1.4803109169006348s

Testing 236 Robots
Solution time: 1.4752569198608398s

Testing 237 Robots
Solution time: 1.4980924129486084s

Testing 238 Robots
Solution time: 1.4965426921844482s

Testing 239 Robots
Solution time: 1.5115156173706055s

Testing 240 Robots
Solution time: 1.4973182678222656s

Testing 241 Robots
Solution time: 1.520650863647461s

Testing 242 Robots
Solution time: 1.5246036052703857s

Testing 243 Robots
Solution time: 1.5468058586120605s

Testing 244 Robots
Solution time: 1.5444269180297852s

Testing 245 Robots
Solution time: 1.6380088329315186s

Testing 246 Robots
Solution time: 1.5544509887695312s

Testing 247 Robots
Solution time: 1.5544795989990234s

Testing 248 Robots
Solution time: 1.5716252326965332s

Testing 249 Robots
Solution time: 1.5648601055145264s

Testing 250 Robots
Solution time: 1.5908637046813965s

Testing 251 Robots
Solution time: 1.688551664352417s

Testing 252 Robots
Solution time: 1.621091365814209s

Testing 253 Robots
Solution time: 1.5978450775146484s

Testing 254 Robots
Solution time: 1.6723268032073975s

Testing 255 Robots
Solution time: 1.6167676448822021s

Testing 256 Robots
Solution time: 1.6989192962646484s

